sample,t0,offset
5_8_12_16,1.539686208983302e-09,0.015819948247085786
5_8_12_20,1.5403356861851447e-09,0.01581967872914735
5_8_12_24,1.539686208983302e-09,0.015819948247085786
5_8_12_28,1.539686208983302e-09,0.015819948247085786
5_8_12_32,1.5412518408012365e-09,0.015981136816901498
5_8_12_36,1.541783987536845e-09,0.016132957912838093
5_8_12_40,1.5418028200484024e-09,0.0161383308153715
5_8_12_45,1.5411287749241129e-09,0.015946026207201036
5_8_12_50,1.5416790167901678e-09,0.016103009831349664
5_8_12_55,1.5401826290990186e-09,0.015819742244279535
5_8_12_60,1.541783987536845e-09,0.016132957912838093
5_8_12_65,1.5419764197641975e-09,0.01618785869432424
5_8_12_70,1.541783987536845e-09,0.016132957912838093
5_8_12_75,1.541783987536845e-09,0.016132957912838093
5_8_12_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_85,1.541783987536845e-09,0.016132957912838093
5_8_12_90,1.539926114412659e-09,0.015819848691910443
5_8_12_95,1.541783987536845e-09,0.016132957912838093
5_8_16_20,1.5403356861851447e-09,0.01581967872914735
5_8_16_24,1.5414861219319265e-09,0.016047977061590706
5_8_16_28,1.5414861219319265e-09,0.016047977061590706
5_8_16_32,1.5412518408012365e-09,0.015981136816901498
5_8_16_36,1.5414861219319265e-09,0.016047977061590706
5_8_16_40,1.5418028200484024e-09,0.0161383308153715
5_8_16_45,1.5409111899199803e-09,0.01588394935588106
5_8_16_50,1.5414077070063631e-09,0.016025605337514966
5_8_16_55,1.5420772743080972e-09,0.016216632426004747
5_8_16_60,1.5414861219319265e-09,0.016047977061590706
5_8_16_65,1.5417431376333966e-09,0.01612130346361304
5_8_16_70,1.5414861219319265e-09,0.016047977061590706
5_8_16_75,1.5414861219319265e-09,0.016047977061590706
5_8_16_80,1.5405317366304977e-09,0.015819597372770687
5_8_16_85,1.5414861219319265e-09,0.016047977061590706
5_8_16_90,1.5424365193146882e-09,0.016345749142501698
5_8_16_95,1.5414861219319265e-09,0.016047977061590706
5_8_20_24,1.5403356861851447e-09,0.01581967872914735
5_8_20_28,1.5403356861851447e-09,0.01581967872914735
5_8_20_32,1.5403356861851447e-09,0.01581967872914735
5_8_20_36,1.5403356861851447e-09,0.01581967872914735
5_8_20_40,1.5418028200484024e-09,0.0161383308153715
5_8_20_45,1.5413789794463603e-09,0.016017409384497965
5_8_20_50,1.5423735045431264e-09,0.01631651843394168
5_8_20_55,1.54069481603907e-09,0.015822218037179453
5_8_20_60,1.5403356861851447e-09,0.01581967872914735
5_8_20_65,1.5422894127931177e-09,0.016277510731844514
5_8_20_70,1.5403356861851447e-09,0.01581967872914735
5_8_20_75,1.5403356861851447e-09,0.01581967872914735
5_8_20_80,1.541329595114133e-09,0.016003320068639835
5_8_20_85,1.5403356861851447e-09,0.01581967872914735
5_8_20_90,1.539917257758436e-09,0.015819852367215996
5_8_20_95,1.5403356861851447e-09,0.01581967872914735
5_8_24_28,1.5409193203043141e-09,0.015886268948913096
5_8_24_32,1.5412518408012365e-09,0.015981136816901498
5_8_24_36,1.5409193203043141e-09,0.015886268948913096
5_8_24_40,1.5418028200484024e-09,0.0161383308153715
5_8_24_45,1.5406530550153987e-09,0.015819547028461597
5_8_24_50,1.540950500414095e-09,0.01589516461268702
5_8_24_55,1.5415633247241566e-09,0.016070002964864025
5_8_24_60,1.5409193203043141e-09,0.015886268948913096
5_8_24_65,1.5414065170954737e-09,0.016025265856760527
5_8_24_70,1.5409193203043141e-09,0.015886268948913096
5_8_24_75,1.5409193203043141e-09,0.015886268948913096
5_8_24_80,1.540192646370908e-09,0.015819738087344618
5_8_24_85,1.5409193203043141e-09,0.015886268948913096
5_8_24_90,1.5418019291304023e-09,0.016138076637081743
5_8_24_95,1.541097695825443e-09,0.015937159361827342
5_8_28_32,1.5412518408012365e-09,0.015981136816901498
5_8_28_36,1.5406095515500612e-09,0.01581956508138826
5_8_28_40,1.5418028200484024e-09,0.0161383308153715
5_8_28_45,1.5403398700653677e-09,0.015819676992934333
5_8_28_50,1.5406528489527322e-09,0.015819547113972803
5_8_28_55,1.5412429760661248e-09,0.015978607714099972
5_8_28_60,1.5406095515500612e-09,0.01581956508138826
5_8_28_65,1.5410619378921064e-09,0.015926957648156364
5_8_28_70,1.5406095515500612e-09,0.01581956508138826
5_8_28_75,1.5406095515500612e-09,0.01581956508138826
5_8_28_80,1.5417669206995101e-09,0.016128088755940302
5_8_28_85,1.5402805028050283e-09,0.015819701628967106
5_8_28_90,1.5412271395441227e-09,0.015974089565316367
5_8_28_95,1.541097695825443e-09,0.015937159361827342
5_8_32_36,1.5412518408012365e-09,0.015981136816901498
5_8_32_40,1.5418028200484024e-09,0.0161383308153715
5_8_32_45,1.542483754130471e-09,0.016367659991336193
5_8_32_50,1.5409499004080953e-09,0.01589499343138993
5_8_32_55,1.541664862103167e-09,0.01609897150892973
5_8_32_60,1.5412518408012365e-09,0.015981136816901498
5_8_32_65,1.5407813138737449e-09,0.015846895809639095
5_8_32_70,1.5412518408012365e-09,0.015981136816901498
5_8_32_75,1.5412518408012365e-09,0.015981136816901498
5_8_32_80,1.54229964117823e-09,0.016282255380390374
5_8_32_85,1.5412518408012365e-09,0.015981136816901498
5_8_32_90,1.5412375982345683e-09,0.01597707342247317
5_8_32_95,1.5412518408012365e-09,0.015981136816901498
5_8_36_40,1.5418028200484024e-09,0.0161383308153715
5_8_36_45,1.5408850795578664e-09,0.01587650008761316
5_8_36_50,1.5411363366158916e-09,0.01594818355264014
5_8_36_55,1.5417264637292842e-09,0.016116546410292042
5_8_36_60,1.5410724652701074e-09,0.01592996110182525
5_8_36_65,1.5416071473846052e-09,0.016082505539606967
5_8_36_70,1.5410724652701074e-09,0.01592996110182525
5_8_36_75,1.5410724652701074e-09,0.01592996110182525
5_8_36_80,1.5404201557167087e-09,0.015819643676255664
5_8_36_85,1.5402805028050283e-09,0.015819701628967106
5_8_36_90,1.5418443578375178e-09,0.016150181517902037
5_8_36_95,1.541097695825443e-09,0.015937159361827342
5_8_40_45,1.542498025990361e-09,0.016374280289509394
5_8_40_50,1.5412960796274628e-09,0.015993758123453265
5_8_40_55,1.542045087117538e-09,0.016207449442780686
5_8_40_60,1.5418028200484024e-09,0.0161383308153715
5_8_40_65,1.5406380124407302e-09,0.01581955327078033
5_8_40_70,1.5418028200484024e-09,0.0161383308153715
5_8_40_75,1.5418028200484024e-09,0.0161383308153715
5_8_40_80,1.5401173001629004e-09,0.015819769354269132
5_8_40_85,1.5418028200484024e-09,0.0161383308153715
5_8_40_90,1.5407864280663005e-09,0.01584835488524112
5_8_40_95,1.5418028200484024e-09,0.0161383308153715
5_8_45_50,1.5422704075525604e-09,0.01627173320718805
5_8_45_55,1.5422704075525604e-09,0.01627173320718805
5_8_45_60,1.5407944230957456e-09,0.015850635861616984
5_8_45_65,1.5410421023402153e-09,0.01592129857890892
5_8_45_70,1.5411678561230057e-09,0.01595717604623865
5_8_45_75,1.5414646924247023e-09,0.01604186323798817
5_8_45_80,1.5422704075525604e-09,0.01627173320718805
5_8_45_85,1.5420092231225346e-09,0.016197217469789534
5_8_45_90,1.5405765623312798e-09,0.015819578771147043
5_8_45_95,1.5408164031135264e-09,0.01585690674550083
5_8_50_55,1.541331044623578e-09,0.016003733612682786
5_8_50_60,1.5410913200041086e-09,0.015935340344406513
5_8_50_65,1.5410421023402153e-09,0.01592129857890892
5_8_50_70,1.541387100739694e-09,0.01601972638387392
5_8_50_75,1.541668724768056e-09,0.016100073524553362
5_8_50_80,1.5418046099652916e-09,0.01613884147742311
5_8_50_85,1.5421356031742138e-09,0.01623327361120049
5_8_50_90,1.5405765623312798e-09,0.015819578771147043
5_8_50_95,1.5411186334085564e-09,0.015943132839820955
5_8_55_60,1.5416474013224978e-09,0.01609398996027081
5_8_55_65,1.5410421023402153e-09,0.01592129857890892
5_8_55_70,1.5419772278530868e-09,0.016188089241525955
5_8_55_75,1.5405006726834952e-09,0.015819610263586432
5_8_55_80,1.5418046099652916e-09,0.01613884147742311
5_8_55_85,1.5408993029324238e-09,0.015880558006545503
5_8_55_90,1.5405765623312798e-09,0.015819578771147043
5_8_55_95,1.5417428063169525e-09,0.016121208939260518
5_8_60_65,1.5414693995424794e-09,0.0160432061754372
5_8_60_70,1.541312558580131e-09,0.015998459557261906
5_8_60_75,1.5415718167282686e-09,0.016072425727768923
5_8_60_80,1.540418495094041e-09,0.015819644365375453
5_8_60_85,1.5402805028050283e-09,0.015819701628967106
5_8_60_90,1.5413352315341326e-09,0.01600492813537074
5_8_60_95,1.541097695825443e-09,0.015937159361827342
5_8_65_70,1.5418899239497442e-09,0.016163181498232433
5_8_65_75,1.5421553659981046e-09,0.01623891193119969
5_8_65_80,1.5410421023402153e-09,0.01592129857890892
5_8_65_85,1.540674391592401e-09,0.015819538174278187
5_8_65_90,1.5405765623312798e-09,0.015819578771147043
5_8_65_95,1.5415855623202697e-09,0.016076347335668113
