sample,t0,offset
5,1.5414635307969242e-09,0.016041531826385794
8,1.5430663559160843e-09,0.016637911911318186
12,1.485272343632527e-09,0.025397071521192537
16,1.4902059000387988e-09,0.023654800018407245
20,1.463033155584081e-09,0.03558793452696682
24,1.5136662800971443e-09,0.017872089295692933
28,1.5229359929962939e-09,0.016304630348534885
32,1.4658426018603625e-09,0.03421981979543467
36,1.5224699196486915e-09,0.01635280500526077
40,1.444503616753339e-09,0.04609991213897024
45,1.5696525500608543e-09,0.03042250285888557
50,1.5494976666938385e-09,0.01964355677194332
55,1.5490027779065675e-09,0.01939985266555752
60,1.5352303220001883e-09,0.015821797336585005
65,1.5727196211356051e-09,0.032156927516632274
70,1.5245648315069005e-09,0.01620457813296804
75,1.5312915502892407e-09,0.015913498753254218
80,1.551518707106263e-09,0.020697806422381414
85,1.5206368275803976e-09,0.01663327396500687
90,1.608087828353031e-09,0.05303696242598043
95,1.5111079040083331e-09,0.018462341870135904
