sample,t0,offset
5_8_12_16_20_24,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_28,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_32,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_36,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_40,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_20_45,1.5413789794463603e-09,0.016017409384497965
5_8_12_16_20_50,1.539979854343998e-09,0.015819826391088383
5_8_12_16_20_55,1.54069481603907e-09,0.015822218037179453
5_8_12_16_20_60,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_65,1.5396495934656316e-09,0.015819963441674387
5_8_12_16_20_70,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_75,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_80,1.541329595114133e-09,0.016003320068639835
5_8_12_16_20_85,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_20_90,1.539917257758436e-09,0.015819852367215996
5_8_12_16_20_95,1.5403356861851447e-09,0.01581967872914735
5_8_12_16_24_28,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_32,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_24_36,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_40,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_24_45,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_24_50,1.5395130617972846e-09,0.01582002009914238
5_8_12_16_24_55,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_24_60,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_65,1.5395642956429561e-09,0.01581999883828763
5_8_12_16_24_70,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_75,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_16_24_85,1.539686208983302e-09,0.015819948247085786
5_8_12_16_24_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_24_95,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_32,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_28_36,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_40,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_28_45,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_28_50,1.5395130617972846e-09,0.01582002009914238
5_8_12_16_28_55,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_28_60,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_65,1.5395642956429561e-09,0.01581999883828763
5_8_12_16_28_70,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_75,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_16_28_85,1.539686208983302e-09,0.015819948247085786
5_8_12_16_28_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_28_95,1.539686208983302e-09,0.015819948247085786
5_8_12_16_32_36,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_32_40,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_32_45,1.5398865776536557e-09,0.01581986509874617
5_8_12_16_32_50,1.5409499004080953e-09,0.01589499343138993
5_8_12_16_32_55,1.541664862103167e-09,0.01609897150892973
5_8_12_16_32_60,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_32_65,1.5407813138737449e-09,0.015846895809639095
5_8_12_16_32_70,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_32_75,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_32_80,1.5399115122464358e-09,0.015819854751469895
5_8_12_16_32_85,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_32_90,1.5412375982345683e-09,0.01597707342247317
5_8_12_16_32_95,1.5412518408012365e-09,0.015981136816901498
5_8_12_16_36_40,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_36_45,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_36_50,1.5395130617972846e-09,0.01582002009914238
5_8_12_16_36_55,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_36_60,1.539686208983302e-09,0.015819948247085786
5_8_12_16_36_65,1.5395642956429561e-09,0.01581999883828763
5_8_12_16_36_70,1.539686208983302e-09,0.015819948247085786
5_8_12_16_36_75,1.539686208983302e-09,0.015819948247085786
5_8_12_16_36_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_16_36_85,1.539686208983302e-09,0.015819948247085786
5_8_12_16_36_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_36_95,1.539686208983302e-09,0.015819948247085786
5_8_12_16_40_45,1.5396961848406362e-09,0.01581994410733698
5_8_12_16_40_50,1.5412960796274628e-09,0.015993758123453265
5_8_12_16_40_55,1.5394623693711688e-09,0.01582004113532066
5_8_12_16_40_60,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_40_65,1.5406380124407302e-09,0.01581955327078033
5_8_12_16_40_70,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_40_75,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_40_80,1.5401173001629004e-09,0.015819769354269132
5_8_12_16_40_85,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_40_90,1.5407864280663005e-09,0.01584835488524112
5_8_12_16_40_95,1.5392996273397076e-09,0.015820108669479964
5_8_12_16_45_50,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_55,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_60,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_65,1.5419764197641975e-09,0.01618785869432424
5_8_12_16_45_70,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_75,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_80,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_85,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_45_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_45_95,1.5411287749241129e-09,0.015946026207201036
5_8_12_16_50_55,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_50_60,1.5395130617972846e-09,0.01582002009914238
5_8_12_16_50_65,1.5419764197641975e-09,0.01618785869432424
5_8_12_16_50_70,1.5416790167901678e-09,0.016103009831349664
5_8_12_16_50_75,1.5416790167901678e-09,0.016103009831349664
5_8_12_16_50_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_16_50_85,1.5416790167901678e-09,0.016103009831349664
5_8_12_16_50_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_50_95,1.5416790167901678e-09,0.016103009831349664
5_8_12_16_55_60,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_55_65,1.5395642956429561e-09,0.01581999883828763
5_8_12_16_55_70,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_55_75,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_55_80,1.5407771047407442e-09,0.015845694946902654
5_8_12_16_55_85,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_55_90,1.539926114412659e-09,0.015819848691910443
5_8_12_16_55_95,1.5401826290990186e-09,0.015819742244279535
5_8_12_16_60_65,1.5395642956429561e-09,0.01581999883828763
