sample,t0,offset
5_8_12,1.541783987536845e-09,0.016132957912838093
5_8_16,1.5414861219319265e-09,0.016047977061590706
5_8_20,1.5403356861851447e-09,0.01581967872914735
5_8_24,1.5409193203043141e-09,0.015886268948913096
5_8_28,1.5406095515500612e-09,0.01581956508138826
5_8_32,1.5412518408012365e-09,0.015981136816901498
5_8_36,1.5410724652701074e-09,0.01592996110182525
5_8_40,1.5418028200484024e-09,0.0161383308153715
5_8_45,1.5422704075525604e-09,0.01627173320718805
5_8_50,1.5407976605018575e-09,0.015851559491343512
5_8_55,1.541331044623578e-09,0.016003733612682786
5_8_60,1.541016719258101e-09,0.015914056803122377
5_8_65,1.5410421023402153e-09,0.01592129857890892
5_8_70,1.541312558580131e-09,0.015998459557261906
5_8_75,1.5415718167282686e-09,0.016072425727768923
5_8_80,1.5418046099652916e-09,0.01613884147742311
5_8_85,1.5420387537208708e-09,0.01620564252908812
5_8_90,1.5405765623312798e-09,0.015819578771147043
5_8_95,1.541097695825443e-09,0.015937159361827342
5_12_16,1.5407305406387396e-09,0.015832410240778225
5_12_20,1.5392312660500343e-09,0.015820137037825775
5_12_24,1.5407305406387396e-09,0.015832410240778225
5_12_28,1.5407305406387396e-09,0.015832410240778225
5_12_32,1.540147420666126e-09,0.015819756854960596
5_12_36,1.5407305406387396e-09,0.015832410240778225
5_12_40,1.540647426676287e-09,0.01581954936409144
5_12_45,1.5411287749241129e-09,0.015946026207201036
5_12_50,1.5395130617972846e-09,0.01582002009914238
5_12_55,1.5401826290990186e-09,0.015819742244279535
5_12_60,1.5407305406387396e-09,0.015832410240778225
5_12_65,1.5395642956429561e-09,0.01581999883828763
5_12_70,1.5407305406387396e-09,0.015832410240778225
5_12_75,1.5407305406387396e-09,0.015832410240778225
5_12_80,1.5407771047407442e-09,0.015845694946902654
5_12_85,1.5407305406387396e-09,0.015832410240778225
5_12_90,1.539926114412659e-09,0.015819848691910443
5_12_95,1.5407305406387396e-09,0.015832410240778225
5_16_20,1.5392312660500343e-09,0.015820137037825775
5_16_24,1.5404496661128229e-09,0.015819631430127393
5_16_28,1.5404496661128229e-09,0.015819631430127393
5_16_32,1.540147420666126e-09,0.015819756854960596
5_16_36,1.5404496661128229e-09,0.015819631430127393
5_16_40,1.540647426676287e-09,0.01581954936409144
5_16_45,1.5409111899199803e-09,0.01588394935588106
